"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita"
"537",0,0,0,0,0,1.48710983804215,0.00125965105212044,0.00898656396789636,0.0796670849165619,0,0,0,0,0,0.000403254122458337,0.00193458213876835,0,0,0,0.000714961579433708,0,0,0,0,0,0.0119930121596635,0,0,0.0252868446427148,0.00152709858441623,0.00299896172528817,0.003905381281519,0.0570402568616334,0,0,0.0138572214723362,0,0
"538",0.00191351323437161,0,0,0,0.00186201288806346,0,0.00125965105212044,0.00898656396789636,0.0796670849165619,0,0,0,0,0,0,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"539",0,0,0,0,0.00186201288806346,0,0.00125965105212044,0,0.0796670849165619,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0,0,0,0,0,0,0,0,0
"540",0,0,0,0,0.00186201288806346,0,0.00125965105212044,0.00898656396789636,0.0796670849165619,0.0360902240831473,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252868446427148,0.00152709858441623,0,0,0,0,0,0,0,0
"541",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543",0,0,0,0,0.00186201288806346,0,0.00125965105212044,0,0.0796670849165619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545",0,0,0,0,0.00186201288806346,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546",0,0,0,0.000135656469620686,0,0,0.00125965105212044,0.00898656396789636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158793363758279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548",0.00191351323437161,0,0,0,0.00186201288806346,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252868446427148,0,0.00299896172528817,0.003905381281519,0,0,0,0,0,0
"549",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0,0.00152709858441623,0.00299896172528817,0,0,0,0,0,0,0
"550",0,0,0,0.000135656469620686,0,0,0.00125965105212044,0,0,0,0,0,0.00173806735299241,0,0.000403254122458337,0.00193458213876835,0,0,0,0,0,0,0,0,0,0,0,0.0169794510912531,0,0.00152709858441623,0,0,0,0,0,0,0,0.000137901754451772
"551",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"552",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554",0,0,0,0,0,0,0.00125965105212044,0,0.0796670849165619,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0,0,0.0119930121596635,0,0,0.0252868446427148,0,0.00299896172528817,0,0,0,0,0,0,0
"555",0.00191351323437161,0,0,0,0.00186201288806346,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158793363758279,0,0,0,0,0,0,0,0,0,0,0.230523841670224,0,0,0
"556",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0.0158793363758279,0,0,0,0,0.0252868446427148,0.00152709858441623,0,0,0,0,0,0,0,0
"557",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"558",0.00191351323437161,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158793363758279,0,0.0119930121596635,0,0,0.0252868446427148,0.00152709858441623,0.00299896172528817,0,0,0,0.230523841670224,0,0,0
"559",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0.00372802878387997,0,0.00193458213876835,0,0,0,0,0,0,0,0.0158793363758279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"560",0,0,0.00333535720365019,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0.000403254122458337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252868446427148,0,0,0,0,0,0,0,0,0
"492",0,0,0,0,0,0,0.00125965105212044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"542",0,0,0,0,0,0,0.00125965105212044,0.00898656396789636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
